target,kernel,correlation_method,kernel_objective_spearman_correlation,kernel_objective_spearman_p_value,kernel_condition_number,kernel_log_abs_determinant,surrogate_normalized_mse_mean,surrogate_normalized_mse_std,surrogate_r2_mean,surrogate_r2_std,surrogate_nlpd_mean,surrogate_nlpd_std
target_len_3,damg_kernel_3,spearman,0.03856039272056418,0.00666191821175743,7413656476836370.0,-inf,1.0350922128987867,0.3426940045872327,-0.031396420335465504,0.041295226806168435,10791.15921821247,4099.123809551651
target_len_3,operator_histogram_kernel,spearman,0.07074181999303066,6.289350176576532e-07,7397661099654131.0,-inf,1.0922774604842225,0.3810022206450687,-0.0859059143968222,0.07356585747350541,398.31146649956725,93.39107258815264
target_len_3_refined_1,noisy_hierarchical_tree_kernel,spearman,0.020789682909038872,0.14361177907435901,29172.367427772875,-706.2810330154002,0.5616253792229946,0.4512596594258997,0.4546832087187636,0.1672409893553724,1.1245448566758267,0.427067657968298
target_len_3_refined_1,noisy_hierarchical_wl_kernel,spearman,0.026018474981932545,0.06718872745102251,475513.89128166623,-753.2233172425671,0.6950831499609069,0.48769594517143666,0.2919330125189131,0.23807771772604366,1.3083925670363539,0.6403151638687943
target_len_3_refined_1,noisy_hierarchical_damg_kernel,spearman,0.21415225609064822,1.910636751467946e-52,1194.2352223923906,-512.2698237777114,0.48751502489977677,0.5113671088392556,0.5647162482828059,0.208164262446146,1.1474187173820343,0.7456351920876637
target_len_3_refined_1,noisy_combined_hierarchical_kernel,spearman,0.15144840375677776,8.702202994145146e-27,1885.2448418912618,-493.25068450073275,0.4875150275110959,0.5113671086417767,0.5647162424480848,0.20816426731710652,1.1474212007716513,0.745634532029403
target_len_3_refined_1,noisy_hybrid_kernel,spearman,0.29724282865740675,1.55457673275374e-101,1139.0820980000215,-510.2568750625899,0.47544696931223773,0.5161771662747602,0.5911605312377635,0.19235813523410566,1.0914757847749939,0.7730093290807942
target_len_3_refined_1,noisy_hierarchical_damg_kernel_13,spearman,0.30053694087295935,7.303661412911947e-104,728.3086298234422,-520.8025357865904,0.4875150272443479,0.5113671094561097,0.5647162439950092,0.20816426183024941,1.1474157698560024,0.7456345876534004
target_len_3_refined_1,tree_kernel_1,spearman,0.034377890242355644,0.015571669249637161,11293.565172388357,-332.26355515553973,0.5625036224591541,0.4546249326649187,0.4561574912538058,0.16771779660544348,10.106139379533342,7.881788361605763
target_len_3_refined_1,tree_kernel_2,spearman,0.005177557648809775,0.7157206799104656,8077914773053089.0,-inf,1.5626523787427595,0.6536463474527151,-0.8030317246579244,0.4905843020843087,748.6253835112235,205.58903412301765
target_len_3_refined_1,tree_kernel_3,spearman,0.016085914935877403,0.25783132204337117,4347.524510617602,-inf,1.5727024005041774,0.5839448694433432,-0.8386854553410498,0.4803241206025202,814.4079038600333,190.76513855982734
target_len_3_refined_1,wl_kernel_1,spearman,0.05697956706018991,6.043285052080701e-05,232306.95809592967,-357.959458500097,0.6919210194413467,0.49014515419969784,0.3008498309384116,0.25717234736402267,17.42602101170377,11.56890531919327
target_len_3_refined_1,wl_kernel_2,spearman,0.007427299771815076,0.6013695181799277,6316144266229125.0,-inf,2.4865083637480074,0.7066109684135524,-2.07268897729903,1.1909348155471158,693.9121649864361,294.01494775105203
target_len_3_refined_1,wl_kernel_3,spearman,0.015543855631876255,0.27421951439542364,5422491577767501.0,-inf,1.8956310580375515,0.5447855856409749,-1.4921119302333963,1.3194025710661297,690.7108895937531,279.6142835815331
target_len_3_refined_1,damg_kernel_1,spearman,0.49402193922378856,5.516118378954405e-303,215.6096258329231,-67.1361266060864,0.4876408682007072,0.5114823128281883,0.5647041163713307,0.20809492697748766,1.0576724338857768,0.5823737830425967
target_len_3_refined_1,damg_kernel_2,spearman,0.015444132893944166,0.2773102747024976,8064941139588592.0,-inf,1.2374297591290104,0.6028018821170429,-0.3502479449143894,0.3069342884358243,5641.262946147107,3569.185732314797
target_len_3_refined_1,damg_kernel_3,spearman,0.0360640765253124,0.011164185310384343,8494444311105269.0,-inf,1.1460514695387616,0.6637678441531253,-0.20066595535030102,0.23311289931162618,11645.651670025412,8565.817544418322
